# Time          5.0000E-01
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   5.000000E-01   2.923750E+00  -2.910629E+00  -8.630470E+00  -4.558647E+00  -3.597113E+00  -5.116258E+00  -2.000000E+00  -1.007459E+01  -1.000280E+01  -1.569211E+01  -1.646926E+01  -2.608362E+01  -2.215455E+01  -9.409789E+00  -5.948670E+00  -1.584700E+01  -6.654997E+00  -4.394173E+00  -5.167407E+00  -1.233659E+01  -1.105359E+01  -1.795654E+01  -8.545532E+00  -6.645563E+00  -9.638103E+00  -1.560777E+01  -2.645011E+01  -5.094452E+00  -8.337238E+00  -5.416583E+00  -7.442277E+00  -8.839051E+00
   1.500000E+00   2.923819E+00  -2.910696E+00  -8.630413E+00  -4.557655E+00  -3.597004E+00  -5.116336E+00  -2.000000E+00  -1.007462E+01  -1.000289E+01  -1.569208E+01  -1.646917E+01  -2.608339E+01  -2.215440E+01  -9.408671E+00  -5.947638E+00  -1.584574E+01  -6.653944E+00  -4.394188E+00  -5.167493E+00  -1.233541E+01  -1.105352E+01  -1.795641E+01  -8.545718E+00  -6.645682E+00  -9.638050E+00  -1.560765E+01  -2.644992E+01  -5.094552E+00  -8.337402E+00  -5.416616E+00  -7.442291E+00  -8.839014E+00
   2.500000E+00   2.923888E+00  -2.910764E+00  -8.630355E+00  -4.556665E+00  -3.596894E+00  -5.116410E+00  -2.000000E+00  -1.007464E+01  -1.000296E+01  -1.569204E+01  -1.646906E+01  -2.608315E+01  -2.215424E+01  -9.407556E+00  -5.946609E+00  -1.584449E+01  -6.652892E+00  -4.394204E+00  -5.167579E+00  -1.233423E+01  -1.105345E+01  -1.795627E+01  -8.545900E+00  -6.645797E+00  -9.637993E+00  -1.560752E+01  -2.644972E+01  -5.094648E+00  -8.337562E+00  -5.416645E+00  -7.442301E+00  -8.838973E+00
   3.500000E+00   2.923956E+00  -2.910831E+00  -8.630297E+00  -4.555678E+00  -3.596785E+00  -5.116484E+00  -2.000000E+00  -1.007465E+01  -1.000304E+01  -1.569200E+01  -1.646896E+01  -2.608291E+01  -2.215408E+01  -9.406442E+00  -5.945581E+00  -1.584324E+01  -6.651843E+00  -4.394219E+00  -5.167665E+00  -1.233305E+01  -1.105338E+01  -1.795614E+01  -8.546082E+00  -6.645912E+00  -9.637936E+00  -1.560739E+01  -2.644952E+01  -5.094744E+00  -8.337722E+00  -5.416674E+00  -7.442311E+00  -8.838931E+00
   4.500000E+00   2.924025E+00  -2.910898E+00  -8.630239E+00  -4.554693E+00  -3.596675E+00  -5.116558E+00  -2.000000E+00  -1.007467E+01  -1.000312E+01  -1.569196E+01  -1.646885E+01  -2.608267E+01  -2.215392E+01  -9.405331E+00  -5.944556E+00  -1.584199E+01  -6.650796E+00  -4.394235E+00  -5.167751E+00  -1.233187E+01  -1.105331E+01  -1.795600E+01  -8.546263E+00  -6.646026E+00  -9.637878E+00  -1.560727E+01  -2.644931E+01  -5.094840E+00  -8.337882E+00  -5.416702E+00  -7.442321E+00  -8.838889E+00
   5.500000E+00   2.924094E+00  -2.910966E+00  -8.630181E+00  -4.553710E+00  -3.596566E+00  -5.116632E+00  -2.000000E+00  -1.007469E+01  -1.000320E+01  -1.569192E+01  -1.646875E+01  -2.608242E+01  -2.215375E+01  -9.404222E+00  -5.943533E+00  -1.584074E+01  -6.649751E+00  -4.394250E+00  -5.167837E+00  -1.233069E+01  -1.105324E+01  -1.795587E+01  -8.546445E+00  -6.646141E+00  -9.637821E+00  -1.560714E+01  -2.644911E+01  -5.094935E+00  -8.338042E+00  -5.416731E+00  -7.442331E+00  -8.838847E+00
   6.500000E+00   2.924163E+00  -2.911033E+00  -8.630123E+00  -4.552730E+00  -3.596456E+00  -5.116706E+00  -2.000000E+00  -1.007470E+01  -1.000327E+01  -1.569188E+01  -1.646864E+01  -2.608218E+01  -2.215359E+01  -9.403116E+00  -5.942512E+00  -1.583950E+01  -6.648708E+00  -4.394266E+00  -5.167923E+00  -1.232952E+01  -1.105317E+01  -1.795573E+01  -8.546627E+00  -6.646255E+00  -9.637764E+00  -1.560701E+01  -2.644891E+01  -5.095031E+00  -8.338202E+00  -5.416760E+00  -7.442341E+00  -8.838806E+00
   7.500000E+00   2.924232E+00  -2.911100E+00  -8.630063E+00  -4.551751E+00  -3.596347E+00  -5.116781E+00  -2.000000E+00  -1.007472E+01  -1.000335E+01  -1.569184E+01  -1.646854E+01  -2.608194E+01  -2.215343E+01  -9.402011E+00  -5.941492E+00  -1.583826E+01  -6.647668E+00  -4.394280E+00  -5.168007E+00  -1.232835E+01  -1.105310E+01  -1.795560E+01  -8.546806E+00  -6.646368E+00  -9.637708E+00  -1.560688E+01  -2.644871E+01  -5.095127E+00  -8.338361E+00  -5.416788E+00  -7.442352E+00  -8.838763E+00
   8.500000E+00   2.924301E+00  -2.911169E+00  -8.629982E+00  -4.550776E+00  -3.596238E+00  -5.116874E+00  -2.000000E+00  -1.007477E+01  -1.000347E+01  -1.569185E+01  -1.646849E+01  -2.608175E+01  -2.215334E+01  -9.400908E+00  -5.940453E+00  -1.583701E+01  -6.646630E+00  -4.394273E+00  -5.168071E+00  -1.232717E+01  -1.105302E+01  -1.795544E+01  -8.546963E+00  -6.646456E+00  -9.637667E+00  -1.560677E+01  -2.644853E+01  -5.095219E+00  -8.338518E+00  -5.416811E+00  -7.442379E+00  -8.838716E+00
   9.500000E+00   2.924365E+00  -2.911231E+00  -8.629744E+00  -4.549809E+00  -3.596128E+00  -5.117773E+00  -2.000000E+00  -1.007645E+01  -1.000520E+01  -1.569430E+01  -1.647088E+01  -2.608401E+01  -2.215651E+01  -9.399822E+00  -5.939262E+00  -1.583580E+01  -6.645604E+00  -4.394103E+00  -5.167967E+00  -1.232603E+01  -1.105296E+01  -1.795513E+01  -8.547592E+00  -6.647022E+00  -9.638443E+00  -1.560748E+01  -2.644917E+01  -5.095952E+00  -8.339313E+00  -5.417483E+00  -7.443218E+00  -8.839322E+00
